,Year,Quarter,Subject,ID,College,MinUnit,Unit,PassNP,Letter,Monday,Tuesday,Wednesday,Thursday,Friday,StartTime,EndTime,Building,CurEnroll,MaxEnroll,RatioEnroll
452,,2,ART,12,L&S,,4.0,0,1,1,0,1,0,0,540.0,710.0,ARTS,15,17,0.8823529411764706
453,,2,ART,14,L&S,,4.0,1,1,1,0,1,0,0,780.0,950.0,ARTS,17,17,1.0
454,,2,ART,22,L&S,,4.0,1,1,0,1,0,1,0,540.0,710.0,ARTS,20,20,1.0
455,,2,ART,100,L&S,,4.0,1,1,0,1,0,1,0,780.0,890.0,ARTS,13,16,0.8125
456,,2,ART,101,L&S,,4.0,0,1,0,0,0,1,0,780.0,950.0,ARTS,10,9,1.1111111111111112
457,,2,ART CS,101,CRST,1.0,6.0,1,0,0,1,0,0,0,780.0,950.0,CRST,10,12,0.8333333333333334
458,,2,ART CS,101,CRST,1.0,6.0,1,0,1,0,0,0,0,840.0,1010.0,CRST,12,12,1.0
459,,2,ART CS,105,CRST,1.0,6.0,1,0,0,0,1,0,0,1020.0,1250.0,CRST,8,0,
460,,2,ART,106IV,L&S,,4.0,1,1,0,0,0,0,1,780.0,1010.0,ARTS,15,15,1.0
461,,2,ART CS,107,CRST,1.0,6.0,1,0,0,0,0,1,0,540.0,650.0,CRST,10,12,0.8333333333333334
462,,2,ART,110,L&S,,4.0,0,1,0,1,0,1,0,840.0,1010.0,ARTS,13,9,1.4444444444444444
463,,2,ART CS,112,CRST,1.0,6.0,1,0,0,0,0,1,0,1020.0,1095.0,CRST,5,10,0.5
464,,2,ART CS,112,CRST,1.0,6.0,1,0,0,0,1,0,0,600.0,770.0,CRST,14,15,0.9333333333333333
465,,2,ART,113,L&S,,4.0,0,1,0,1,0,0,0,780.0,1010.0,ARTS,6,8,0.75
466,,2,ART,117,L&S,,4.0,1,1,0,0,0,0,1,660.0,920.0,ARTS,17,17,1.0
467,,2,ART,118,L&S,,4.0,1,1,1,0,1,0,0,540.0,710.0,ARTS,15,15,1.0
468,,2,ART,120NP,L&S,,4.0,0,1,0,1,0,1,0,900.0,1070.0,ARTS,18,15,1.2
469,,2,ART,122CC,L&S,,4.0,0,1,1,0,1,0,0,780.0,950.0,ARTS,14,14,1.0
470,,2,ART,123,L&S,,4.0,1,1,0,1,0,1,0,540.0,710.0,ARTS,12,10,1.2
