20184_SOC.html,SOC     134,L&S,4.0,Optional,M W,8:00 am - 9:15 am,PHELP1260,6 / 90
20184_SOC.html,SOC     140,L&S,4.0,Optional,W,7:00pm - 9:50pm,WEBB 1100,11 / 90
20184_SOC.html,SOC     142,L&S,4.0,Optional,M W F,11:00am - 11:50am,BUCHN1940,13 / 149
20184_SOC.html,SOC     144,L&S,4.0,Optional,T R,3:30pm - 4:45pm,PHELP3515,2 / 80
20184_SOC.html,SOC     145,L&S,4.0,Optional,T R,12:30pm - 1:45pm,BRDA 1640,4 / 80
20184_SOC.html,SOC     152A,L&S,4.0,Optional,M W F,2:00pm - 2:50pm,IV   THEA1,52 / 529
20184_SOC.html,SOC     152B,L&S,4.0,Optional,M W F,12:00pm - 12:50pm,ELLSN2816,0 / 18
20184_SOC.html,SOC     152C,L&S,1.0 - 5.0,Optional,T R,4:00pm - 4:50pm,SSMS 3017,0 / 20
20184_SOC.html,SOC     154A,L&S,4.0,Optional,T R,9:30 am - 10:45am,PHELP1260,18 / 90
20184_SOC.html,SOC     167,L&S,4.0,Optional,M W,9:30 am - 10:45am,PHELP3515,8 / 80
20184_SOC.html,SOC     172,L&S,4.0,Optional,M W,11:00am - 12:15pm,WEBB 1100,28 / 90
20184_SOC.html,SOC     173,L&S,4.0,Optional,T R,8:00 am - 9:15 am,PHELP1260,11 / 90
20184_SOC.html,SOC     185D,L&S,4.0,Optional,T R,2:00pm - 3:15pm,PHELP1260,12 / 80
20184_SOC.html,SOC     185G,L&S,4.0,Optional,M,5:00pm - 7:50pm,SH   1431,7 / 90
20184_SOC.html,SOC     185G,L&S,4.0,Optional,T,5:00pm - 5:50pm,GIRV 2115,6 / 30
20184_SOC.html,SOC     185G,L&S,4.0,Optional,T,6:00pm - 6:50pm,PHELP2514,1 / 30
20184_SOC.html,SOC     185G,L&S,4.0,Optional,T,7:00pm - 7:50pm,PHELP1444,0 / 30
20184_SOC.html,SOC     191CA,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 15
20184_SOC.html,SOC     196H,L&S,4.0,Letter,W,5:00pm - 7:50pm,SSMS 3017,0 / 15
20184_SOC.html,SOC     198,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_SOC.html,SOC     199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 1
20184_SOC.html,SOC     199RA,L&S,1.0 - 5.0,Pass/No Pass,N/A,N/A,N/A,0 / 40
