20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_ART.html,ART     101,L&S,4.0,Optional,W,1:00pm - 3:50pm,ARTS 2432,12 / 11
20201_ART.html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,9:00 am - 12:50pm,CRST 120,10 / 10
20201_ART.html,ART  CS 104,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:20pm,CRST 107,10 / 10
20201_ART.html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,5:00pm - 8:50pm,CRST 107,0 / 10
20201_ART.html,ART     105KY,L&S,4.0,Letter,F,12:00pm - 3:50pm,ARTS 0641,15 / 15
20201_ART.html,ART     105TD,L&S,4.0,Letter,T R,9:00 am - 11:50am,ARTS 0641,14 / 14
20201_ART.html,ART     106W,L&S,4.0,Optional,M W,8:00 am - 10:50am,ARTS 1332,10 / 10
20201_ART.html,ART     110,L&S,4.0,Optional,T R,1:00pm - 3:50pm,ARTS 2235,14 / 14
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,11:00am - 12:50pm,CRST 136,8 / 15
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,W,9:00 am - 12:50pm,CRST 120,5 / 10
20201_ART.html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,1:00pm - 2:15pm,CRST 136,7 / 12
20201_ART.html,ART     117,L&S,4.0,Optional,M W,1:00pm - 3:50pm,ARTS 2636,19 / 18
20201_ART.html,ART     120EF,L&S,4.0,Optional,M W,9:00 am - 11:50am,ARTS 1237,18 / 18
20201_ART.html,ART     130,L&S,4.0,Optional,R,2:00pm - 4:50pm,ARTS 1344,23 / 25
20201_ART.html,ART     132,L&S,4.0,Optional,F,10:00am - 1:50pm,ARTS 2220,14 / 14
20201_ART.html,ART     192ES,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     192IA,L&S,1.0 - 4.0,Pass/No Pass,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     196,L&S,4.0,Letter,W,1:00pm - 3:50pm,ARTS 1352,0 / 8
20201_ART.html,ART     199,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 0
20201_ART.html,ART     199RA,L&S,1.0 - 5.0,Letter,N/A,N/A,N/A,0 / 0
20201_ART  CS .html,ART  CS 101,CRST,1.0 - 6.0,Pass/No Pass,M,9:00 am - 12:50pm,CRST 120,10 / 10
20201_ART  CS .html,ART  CS 104,CRST,1.0 - 6.0,Pass/No Pass,W,1:00pm - 4:20pm,CRST 107,10 / 10
20201_ART  CS .html,ART  CS 105,CRST,1.0 - 6.0,Pass/No Pass,W,5:00pm - 8:50pm,CRST 107,0 / 10
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,11:00am - 12:50pm,CRST 136,8 / 15
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,W,9:00 am - 12:50pm,CRST 120,5 / 10
20201_ART  CS .html,ART  CS 112,CRST,1.0 - 6.0,Pass/No Pass,M W,1:00pm - 2:15pm,CRST 136,7 / 12
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M W,9:30 am - 10:45am,MUSICLLCH,400 / 400
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,3:00pm - 3:50pm,387  1011,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,F,12:00pm - 12:50pm,HSSB 1228,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,11:00am - 11:50am,BUCHN1934,25 / 25
20201_ANTH.html,ANTH      2,L&S,4.0,Optional,M,12:00pm - 12:50pm,GIRV 2119,25 / 25
